round,cumulative_samples,distinct_seen,posterior_mean_distinct_only,posterior_mean_full_uniform,posterior_mean_full_dirichlet,true_m
1,6,3,5.057466077805956,5.057466077805954,7.500515010677053,3
2,12,3,3.168051953971425,3.1680519539714247,5.852002245950127,3
3,18,3,3.0242777671435066,3.0242777671435017,5.048203195593343,3
4,24,3,3.0040954975017633,3.0040954975017686,4.613833453033624,3
5,30,3,3.0007182923483313,3.00071829234833,4.348416595415758,3
6,36,3,3.0001273260701886,3.0001273260701806,4.170204405495612,3
7,42,3,3.0000226364425906,3.0000226364425826,4.042040235498873,3
8,48,3,3.000004027609261,3.0000040276092665,3.9450874488733216,3
9,54,3,3.0000007167712863,3.0000007167712908,3.868891636297974,3
10,60,3,3.0000001275672132,3.0000001275672026,3.8072128207720373,3
11,66,3,3.0000000227040973,3.000000022704107,3.756102095662638,3
12,72,3,3.000000004040836,3.0000000040408548,3.7129386506953903,3
13,78,3,3.0000000007191816,3.0000000007191776,3.6759135556141844,3
14,84,3,3.0000000001279985,3.000000000128004,3.6437367119460973,3
15,90,3,3.0000000000227813,3.000000000022784,3.615462239080586,3
16,96,3,3.0000000000040545,3.000000000004068,3.5903800448996215,3
17,102,3,3.0000000000007216,3.0000000000007123,3.567946061293658,3
18,108,3,3.000000000000129,3.00000000000013,3.5477359530782597,3
19,114,3,3.0000000000000235,3.000000000000006,3.529413563893027,3
20,120,3,3.0000000000000044,3.0000000000000164,3.5127088911852127,3
